name,Brand,MrpDecimal,salePriceDecimal,discountDecimal,discountPercent
Wellbeing Nutrition Slow Multivitamin For Men With 100% Rda Of Essential Nutrients 60 Caps,WELLBEING NUTRITION,2199.00,1649.25,549.75,25
Carbamide Forte Biotin 10000mcg 120 Veg Tablets,CARBAMIDE FORTE,795.00,675.75,119.25,15
Oziva Plant Based Herbalance For Menopause 250g | Menopause Relief Drink,OZIVA,899.00,809.10,89.90,10
Chicnutrix Ashwagandha Ksm-66|600mg + 5% Withanolides |skin De-stress|60 Caps,CHICNUTRIX,799.00,599.25,199.75,25
Carbamide Forte Vitamin D3 60000 Iu Cholecalciferol Vitamin D-40 Tablets,CARBAMIDE FORTE,600.00,510.00,90.00,15
Chicnutrix Lean - Weight Management Fat Burner |30 Sachets |150 Gm Box (mango),CHICNUTRIX,1899.00,1196.37,702.63,37
Everherb (by Pharmeasy) Shilajit 500mg - Natural Vigour Improvement - Strength & Stamina For Men - Bottle Of 60,EVERHERB,999.00,499.50,499.50,50
Carbamide Forte Methylcobalamin Vitamin B12 Supplement 1500mcg - 90 Veg Tablets,CARBAMIDE FORTE,500.00,425.00,75.00,15
Gnc Mega Men Multivitamin - 120 Tablets,GNC,2649.00,1986.75,662.25,25
Chicnutrix Cysterhood - For Pcos Management 600mg (nac)& Vitaminc-1x(20 Effervescent Tablets),CHICNUTRIX,410.00,307.50,102.50,25
Oziva Daily Mens Multi Tablets 60 Tablets,OZIVA,499.00,349.30,149.70,30
Rooted Actives -chaga Mushroom Extract Powder - Pure Fruit Body Extract - 60gm,ROOTED ACTIVE NATURALS,1480.00,592.00,888.00,60
Carbamide Forte L Glutathione Tablets With Vitamin C Combo Pack -hair Skin& Nails- 30 Tablets Each,CARBAMIDE FORTE,1750.00,1487.50,262.50,15
Swisse Ultiboost Vitamin D3 Supplement For Immunity Bones & Muscle Health - 90 Tablets,SWISSE,1399.00,1021.27,377.73,27
Wow Life Science Multivitamin For Men - 60 Veg Capsules,WOW,699.00,510.27,188.73,27
Fast&up Ashwagandha(ksm-66)-natural Vitality Booster-usda Organic Certified -60 Veg Capsules,FAST&UP,950.00,760.00,190.00,20
Sheneed Vitamin B Overall Supplements Boosts Digestion & Energy -60 Tablets,SHENEED,600.00,312.00,288.00,48
Pure Nutrition Multivitamin For Men L Men`s Multivitamin For Energy And Immunity - 60 Tablets,PURE NUTRITION,499.00,349.30,149.70,30
Carbamide Forte Probiotics 50 Billion Cfu With Prebiotics 150 Mg Supports Digestion 60 Capsules,CARBAMIDE FORTE,1550.00,1317.50,232.50,15
Liveasy Ortho Care Ankle Support - Prevents Swelling - Boosts Performance - Size Xl,LIVEASY,299.00,254.15,44.85,15
Everherb (by Pharmeasy) Moringa (drum Stick) - Immunity Booster Capsules - Natural Multivitamin - Bottle Of 60,EVERHERB,599.00,269.55,329.45,55
